#Network: edges.txt
#Nodes: 30	Edges: 347
#NodeId	Degree	Closeness	Betweennes	EigenVector	NetworkConstraint	ClusteringCoefficient	PageRank	HubScore	AuthorityScore
4	24.000000	1.172414	3.001008	0.034695	0.138058	0.786232	0.015017	0.258627	0.000000
11	25.000000	1.137931	3.314239	0.035691	0.136809	0.780000	0.029171	0.129974	0.223365
28	25.000000	1.137931	3.314239	0.035691	0.136809	0.780000	0.029171	0.129974	0.223365
12	23.000000	1.206897	2.505480	0.033403	0.140406	0.798419	0.031506	0.088301	0.231929
23	23.000000	1.206897	2.396101	0.033655	0.140442	0.806324	0.037016	0.059392	0.247525
20	24.000000	1.172414	2.629868	0.034893	0.138972	0.804348	0.041479	0.059392	0.252823
22	20.000000	1.310345	2.309145	0.029164	0.142748	0.752632	0.037016	0.014962	0.247525
7	24.000000	1.172414	2.534629	0.035024	0.139327	0.811594	0.049346	0.044835	0.256386
29	21.000000	1.275862	2.400054	0.030596	0.141601	0.766667	0.050294	0.000000	0.256386
14	24.000000	1.172414	2.536606	0.035028	0.139334	0.811594	0.072143	0.014962	0.262640
30	18.000000	1.379310	2.180522	0.026163	0.145365	0.712418	0.034681	0.000000	0.238961
15	24.000000	1.172414	2.536606	0.035028	0.139334	0.811594	0.133467	0.000000	0.263538
9	24.000000	1.172414	2.742161	0.034778	0.138624	0.797101	0.103608	0.000000	0.263538
27	17.000000	1.413793	2.182188	0.024627	0.146112	0.676471	0.031506	0.000000	0.231929
6	24.000000	1.172414	3.001008	0.034695	0.138058	0.786232	0.015017	0.258627	0.000000
18	21.000000	1.275862	2.714860	0.030475	0.140628	0.747619	0.015017	0.251592	0.000000
19	23.000000	1.206897	2.857934	0.033329	0.139072	0.778656	0.015017	0.256866	0.000000
3	21.000000	1.275862	2.714860	0.030475	0.140628	0.747619	0.015017	0.251592	0.000000
10	24.000000	1.172414	2.843484	0.034865	0.138552	0.797101	0.016636	0.251592	0.046445
5	22.000000	1.241379	2.669571	0.031966	0.140492	0.774892	0.016081	0.246384	0.031034
13	22.000000	1.241379	2.671382	0.031923	0.140593	0.774892	0.016636	0.240337	0.046445
26	24.000000	1.172414	3.058287	0.034492	0.138172	0.782609	0.018525	0.233471	0.091730
8	24.000000	1.172414	3.212075	0.034339	0.137653	0.771739	0.019208	0.225810	0.106512
25	25.000000	1.137931	3.410412	0.035703	0.136555	0.776667	0.019953	0.225810	0.120932
16	27.000000	1.068966	4.256790	0.037975	0.133830	0.766382	0.023536	0.205137	0.175584
1	27.000000	1.068966	4.362768	0.037872	0.133557	0.760684	0.024642	0.193735	0.188534
21	27.000000	1.068966	4.250811	0.037981	0.133826	0.766382	0.025976	0.181672	0.200841
2	25.000000	1.137931	3.469569	0.035554	0.136586	0.773333	0.020827	0.215841	0.134940
17	17.000000	1.413793	2.459426	0.024488	0.145153	0.654412	0.015017	0.225810	0.000000
24	25.000000	1.137931	3.463919	0.035430	0.136792	0.773333	0.027472	0.142743	0.212465
